COUNTRY,PRODUCT,FLOW,UNIT,TIME,VALUE,YEAR,MONTH
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2017-08-01,1.36,2017,8
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2017-09-01,1.41,2017,9
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2017-10-01,1.38,2017,10
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2017-11-01,1.42,2017,11
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2017-12-01,1.42,2017,12
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2018-01-01,1.47,2018,1
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2018-02-01,1.48,2018,2
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2018-03-01,1.44,2018,3
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2018-04-01,1.49,2018,4
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2018-05-01,1.51,2018,5
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2018-06-01,1.51,2018,6
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2018-07-01,1.5,2018,7
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2018-08-01,1.5,2018,8
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2018-09-01,1.54,2018,9
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2018-10-01,1.53,2018,10
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2018-11-01,1.5,2018,11
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2018-12-01,1.39,2018,12
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2019-01-01,1.34,2019,1
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2019-02-01,1.33,2019,2
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2019-03-01,1.36,2019,3
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2019-04-01,1.42,2019,4
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2019-05-01,1.46,2019,5
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2019-06-01,1.43,2019,6
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2019-07-01,1.42,2019,7
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2019-08-01,1.39,2019,8
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2019-09-01,1.37,2019,9
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2019-10-01,1.37,2019,10
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2019-11-01,1.37,2019,11
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2019-12-01,1.38,2019,12
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2020-01-01,1.37,2020,1
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2020-02-01,1.31,2020,2
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2020-03-01,1.23,2020,3
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2020-04-01,1.15,2020,4
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2020-05-01,1.1,2020,5
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2020-06-01,1.16,2020,6
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2020-07-01,1.21,2020,7
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2020-08-01,1.26,2020,8
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2020-09-01,1.26,2020,9
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2020-10-01,1.25,2020,10
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2020-11-01,1.25,2020,11
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2020-12-01,1.3,2020,12
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2021-01-01,1.35,2021,1
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2021-02-01,1.39,2021,2
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2021-03-01,1.43,2021,3
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2021-04-01,1.46,2021,4
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2021-05-01,1.51,2021,5
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2021-06-01,1.52,2021,6
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2021-07-01,1.54,2021,7
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2021-08-01,1.56,2021,8
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2021-09-01,1.56,2021,9
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2021-10-01,1.6,2021,10
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2021-11-01,1.63,2021,11
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2021-12-01,1.58,2021,12
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2022-01-01,1.6,2022,1
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2022-02-01,1.68,2022,2
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2022-03-01,1.98,2022,3
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2022-04-01,1.85,2022,4
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2022-05-01,1.88,2022,5
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2022-06-01,2.17,2022,6
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2022-07-01,2.09,2022,7
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2022-08-01,1.85,2022,8
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2022-09-01,1.7,2022,9
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2022-10-01,1.73,2022,10
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2022-11-01,1.71,2022,11
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2022-12-01,1.58,2022,12
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2023-01-01,1.69,2023,1
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2023-02-01,1.69,2023,2
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2023-03-01,1.69,2023,3
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2023-04-01,1.76,2023,4
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2023-05-01,1.7,2023,5
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2023-06-01,1.71,2023,6
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2023-07-01,1.75,2023,7
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2023-08-01,1.83,2023,8
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2023-09-01,1.82,2023,9
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2023-10-01,1.73,2023,10
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2023-11-01,1.7,2023,11
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2023-12-01,1.64,2023,12
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2024-01-01,1.67,2024,1
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2024-02-01,1.71,2024,2
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2024-03-01,1.74,2024,3
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2024-04-01,1.79,2024,4
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2024-05-01,1.77,2024,5
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2015-01-01,1.28,2015,1
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2015-02-01,1.29,2015,2
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2015-03-01,1.26,2015,3
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2015-04-01,1.26,2015,4
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2015-05-01,1.32,2015,5
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2015-06-01,1.33,2015,6
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2015-07-01,1.26,2015,7
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2015-08-01,1.21,2015,8
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2015-09-01,1.21,2015,9
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2015-10-01,1.2,2015,10
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2015-11-01,1.15,2015,11
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2015-12-01,1.11,2015,12
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2016-01-01,1.05,2016,1
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2016-02-01,1.05,2016,2
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2016-03-01,1.09,2016,3
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2016-04-01,1.12,2016,4
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2016-05-01,1.18,2016,5
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2016-06-01,1.2,2016,6
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2016-07-01,1.16,2016,7
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2016-08-01,1.15,2016,8
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2016-09-01,1.17,2016,9
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2016-10-01,1.19,2016,10
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2016-11-01,1.16,2016,11
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2016-12-01,1.18,2016,12
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2017-01-01,1.21,2017,1
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2017-02-01,1.21,2017,2
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2017-03-01,1.19,2017,3
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2017-04-01,1.2,2017,4
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2017-05-01,1.21,2017,5
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2017-06-01,1.2,2017,6
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2017-07-01,1.22,2017,7
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2017-08-01,1.26,2017,8
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2017-09-01,1.31,2017,9
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2017-10-01,1.31,2017,10
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2017-11-01,1.34,2017,11
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2017-12-01,1.36,2017,12
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2018-01-01,1.41,2018,1
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2018-02-01,1.4,2018,2
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2018-03-01,1.4,2018,3
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2018-04-01,1.43,2018,4
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2018-05-01,1.45,2018,5
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2018-06-01,1.45,2018,6
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2018-07-01,1.44,2018,7
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2018-08-01,1.42,2018,8
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2018-09-01,1.48,2018,9
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2018-10-01,1.5,2018,10
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2018-11-01,1.5,2018,11
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2018-12-01,1.4,2018,12
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2019-01-01,1.35,2019,1
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2019-02-01,1.36,2019,2
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2019-03-01,1.37,2019,3
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2019-04-01,1.38,2019,4
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2019-05-01,1.39,2019,5
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2019-06-01,1.36,2019,6
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2019-07-01,1.35,2019,7
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2019-08-01,1.32,2019,8
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2019-09-01,1.33,2019,9
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2019-10-01,1.33,2019,10
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2019-11-01,1.33,2019,11
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2019-12-01,1.34,2019,12
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2020-01-01,1.35,2020,1
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2020-02-01,1.28,2020,2
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2020-03-01,1.2,2020,3
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2020-04-01,1.13,2020,4
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2020-05-01,1.08,2020,5
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2020-06-01,1.13,2020,6
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2020-07-01,1.18,2020,7
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2020-08-01,1.22,2020,8
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2020-09-01,1.2,2020,9
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2020-10-01,1.18,2020,10
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2020-11-01,1.19,2020,11
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2020-12-01,1.27,2020,12
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2021-01-01,1.31,2021,1
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2021-02-01,1.34,2021,2
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2021-03-01,1.38,2021,3
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2021-04-01,1.4,2021,4
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2021-05-01,1.44,2021,5
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2021-06-01,1.46,2021,6
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2021-07-01,1.47,2021,7
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2021-08-01,1.47,2021,8
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2021-09-01,1.48,2021,9
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2021-10-01,1.58,2021,10
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2021-11-01,1.61,2021,11
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2021-12-01,1.57,2021,12
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2022-01-01,1.59,2022,1
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2022-02-01,1.67,2022,2
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2022-03-01,2.06,2022,3
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2022-04-01,1.97,2022,4
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2022-05-01,1.96,2022,5
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2022-06-01,2.14,2022,6
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2022-07-01,2.09,2022,7
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2022-08-01,1.88,2022,8
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2022-09-01,1.91,2022,9
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2022-10-01,1.99,2022,10
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2022-11-01,1.94,2022,11
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2022-12-01,1.78,2022,12
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2023-01-01,1.88,2023,1
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2023-02-01,1.8,2023,2
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2023-03-01,1.75,2023,3
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2023-04-01,1.74,2023,4
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2023-05-01,1.63,2023,5
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2023-06-01,1.64,2023,6
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2023-07-01,1.72,2023,7
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2023-08-01,1.84,2023,8
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2023-09-01,1.88,2023,9
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2023-10-01,1.86,2023,10
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2023-11-01,1.83,2023,11
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2023-12-01,1.76,2023,12
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2024-01-01,1.78,2024,1
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2024-02-01,1.84,2024,2
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2024-03-01,1.83,2024,3
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2024-04-01,1.8,2024,4
Austria,Diesel (unidad/litro),Precio Total,Dolar Estadounidense,2024-05-01,1.74,2024,5
Austria,Gasóleo para calefacción doméstica (unidad/litro),Precio Total,Dolar Estadounidense,2015-01-01,0.8,2015,1
Austria,Gasóleo para calefacción doméstica (unidad/litro),Precio Total,Dolar Estadounidense,2015-02-01,0.84,2015,2
Austria,Gasóleo para calefacción doméstica (unidad/litro),Precio Total,Dolar Estadounidense,2015-03-01,0.82,2015,3
Austria,Gasóleo para calefacción doméstica (unidad/litro),Precio Total,Dolar Estadounidense,2015-04-01,0.82,2015,4
Austria,Gasóleo para calefacción doméstica (unidad/litro),Precio Total,Dolar Estadounidense,2015-05-01,0.88,2015,5
Austria,Gasóleo para calefacción doméstica (unidad/litro),Precio Total,Dolar Estadounidense,2015-06-01,0.86,2015,6
Austria,Gasóleo para calefacción doméstica (unidad/litro),Precio Total,Dolar Estadounidense,2015-07-01,0.8,2015,7
Austria,Gasóleo para calefacción doméstica (unidad/litro),Precio Total,Dolar Estadounidense,2015-08-01,0.75,2015,8
Austria,Gasóleo para calefacción doméstica (unidad/litro),Precio Total,Dolar Estadounidense,2015-09-01,0.77,2015,9
Austria,Gasóleo para calefacción doméstica (unidad/litro),Precio Total,Dolar Estadounidense,2015-10-01,0.76,2015,10
Austria,Gasóleo para calefacción doméstica (unidad/litro),Precio Total,Dolar Estadounidense,2015-11-01,0.71,2015,11
Austria,Gasóleo para calefacción doméstica (unidad/litro),Precio Total,Dolar Estadounidense,2015-12-01,0.64,2015,12
Austria,Gasóleo para calefacción doméstica (unidad/litro),Precio Total,Dolar Estadounidense,2016-01-01,0.58,2016,1
Austria,Gasóleo para calefacción doméstica (unidad/litro),Precio Total,Dolar Estadounidense,2016-02-01,0.59,2016,2
Austria,Gasóleo para calefacción doméstica (unidad/litro),Precio Total,Dolar Estadounidense,2016-03-01,0.64,2016,3
Austria,Gasóleo para calefacción doméstica (unidad/litro),Precio Total,Dolar Estadounidense,2016-04-01,0.65,2016,4
Austria,Gasóleo para calefacción doméstica (unidad/litro),Precio Total,Dolar Estadounidense,2016-05-01,0.71,2016,5
Austria,Gasóleo para calefacción doméstica (unidad/litro),Precio Total,Dolar Estadounidense,2016-06-01,0.72,2016,6
Austria,Gasóleo para calefacción doméstica (unidad/litro),Precio Total,Dolar Estadounidense,2016-07-01,0.69,2016,7
Austria,Gasóleo para calefacción doméstica (unidad/litro),Precio Total,Dolar Estadounidense,2016-08-01,0.69,2016,8
Austria,Gasóleo para calefacción doméstica (unidad/litro),Precio Total,Dolar Estadounidense,2016-09-01,0.7,2016,9
Austria,Gasóleo para calefacción doméstica (unidad/litro),Precio Total,Dolar Estadounidense,2016-10-01,0.73,2016,10
Austria,Gasóleo para calefacción doméstica (unidad/litro),Precio Total,Dolar Estadounidense,2016-11-01,0.7,2016,11
Austria,Gasóleo para calefacción doméstica (unidad/litro),Precio Total,Dolar Estadounidense,2016-12-01,0.74,2016,12
Austria,Gasóleo para calefacción doméstica (unidad/litro),Precio Total,Dolar Estadounidense,2017-01-01,0.77,2017,1
Austria,Gasóleo para calefacción doméstica (unidad/litro),Precio Total,Dolar Estadounidense,2017-02-01,0.77,2017,2
Austria,Gasóleo para calefacción doméstica (unidad/litro),Precio Total,Dolar Estadounidense,2017-03-01,0.74,2017,3
Austria,Gasóleo para calefacción doméstica (unidad/litro),Precio Total,Dolar Estadounidense,2017-04-01,0.75,2017,4
Austria,Gasóleo para calefacción doméstica (unidad/litro),Precio Total,Dolar Estadounidense,2017-05-01,0.74,2017,5
Austria,Gasóleo para calefacción doméstica (unidad/litro),Precio Total,Dolar Estadounidense,2017-06-01,0.72,2017,6
Austria,Gasóleo para calefacción doméstica (unidad/litro),Precio Total,Dolar Estadounidense,2017-07-01,0.74,2017,7
Austria,Gasóleo para calefacción doméstica (unidad/litro),Precio Total,Dolar Estadounidense,2017-08-01,0.77,2017,8
Austria,Gasóleo para calefacción doméstica (unidad/litro),Precio Total,Dolar Estadounidense,2017-09-01,0.81,2017,9
Austria,Gasóleo para calefacción doméstica (unidad/litro),Precio Total,Dolar Estadounidense,2017-10-01,0.82,2017,10
Austria,Gasóleo para calefacción doméstica (unidad/litro),Precio Total,Dolar Estadounidense,2017-11-01,0.85,2017,11
Austria,Gasóleo para calefacción doméstica (unidad/litro),Precio Total,Dolar Estadounidense,2017-12-01,0.86,2017,12
Austria,Gasóleo para calefacción doméstica (unidad/litro),Precio Total,Dolar Estadounidense,2018-01-01,0.91,2018,1
Austria,Gasóleo para calefacción doméstica (unidad/litro),Precio Total,Dolar Estadounidense,2018-02-01,0.89,2018,2
Austria,Gasóleo para calefacción doméstica (unidad/litro),Precio Total,Dolar Estadounidense,2018-03-01,0.89,2018,3
Austria,Gasóleo para calefacción doméstica (unidad/litro),Precio Total,Dolar Estadounidense,2018-04-01,0.93,2018,4
Austria,Gasóleo para calefacción doméstica (unidad/litro),Precio Total,Dolar Estadounidense,2018-05-01,0.96,2018,5
Austria,Gasóleo para calefacción doméstica (unidad/litro),Precio Total,Dolar Estadounidense,2018-06-01,0.95,2018,6
Austria,Gasóleo para calefacción doméstica (unidad/litro),Precio Total,Dolar Estadounidense,2018-07-01,0.94,2018,7
Austria,Gasóleo para calefacción doméstica (unidad/litro),Precio Total,Dolar Estadounidense,2018-08-01,0.94,2018,8
Austria,Gasóleo para calefacción doméstica (unidad/litro),Precio Total,Dolar Estadounidense,2018-09-01,0.99,2018,9
